タイトル,URL
マウス練習広場 ハロー！パソコン教室,https://www.hello-pc.net/school/challenge_win8/
ナレッジタイピング,https://n-typing.com/login
寿司打,https://sushida.net/
模擬試験 / タイピング技能検定イータイピング・マスター[インターネットで受験できる検定試験],https://web.e-typing.ne.jp/mock/
code.org,https://code.org/en-US
アルファベットタイピング,https://typing.twi1.me/game/197
iTeenリテラシークイズ,https://literacy.iteen.jp/
検定本番,https://programming-testing.com/player/auth/login
GAHAG,https://gahag.net/
p検定対策,https://learning.programming-sc.com/ContentMenuList/
ナレッジタイピング | 小学生の無料タイピング練習サイト,https://n-typing.com/
